PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,NumberOfDays,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e_Calculated_MT,Postcode,Borough,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
Other,Retro-commissioning,Survey,,,0,P.S. 084 Lillian Weber,32 West 92 Street,DOE,0,10025,MANHATTAN,40.789526,-73.967574,7,6,177,1081042,1012050006,Upper West Side                                                            
Other,Retro-commissioning,Proposed,,,0,K135 - PS 135 Sheldon A. Brookner,686 Linden Blvd,DOE,0,11203,BROOKLYN ,40.653643,-73.933053,17,41,870,3102005,3046730001,East Flatbush-Farragut                                                     
Other,Retro-commissioning,Survey,9-Aug-11,,0,East Harlem Health Care Center,158 East 115th Street,DOHMH,0,10029,MANHATTAN,40.797755,-73.941699,11,8,182,1052229,1016400147,East Harlem North                                                          
Other,Retro-commissioning,Survey,,,0,Marta Valle Secondary School,145 Stanton Street,DOE,0,10002,MANHATTAN,40.720581,-73.985645,3,1,3001,1004323,1003540080,Chinatown                                                                  
Comprehensive,Retrofit,Design,,,0,Mark A. Constantino Judicial Center,"130 Stuyvesant Pl, Staten Island",DCAS,627.89,10301,STATEN IS,40.642891,-74.076874,1,49,3,5000085,5000080070,West New Brighton-New Brighton-St. George                                  
Other,Retro-commissioning,Survey,,,0,P.S. 057 Crescent,2111 Crotona Avenue,DOE,0,10457,BRONX    ,40.848472,-73.888561,6,15,373,2012359,2030810026,East Tremont                                                               
Lighting System Upgrade,Retrofit,Completed,28-Apr-09,26-Jun-06,0,NYBG - Tool Shed,"2800 Southern Blvd, 2670 Thoedore Kazimiroff Blvd",DCLA,0.57,10458,BRONX    ,40.865064,-73.883913,6,15,397,,,Belmont                                                                    
Lighting System Upgrade,Retrofit,Completed,5-Sep-07,11-Sep-08,372,40th Precinct,257 ALEXANDER AVENUE,NYPD,22.42,10454,BRONX    ,40.810347,-73.924941,1,8,39,2000700,2023140030,Mott Haven-Port Morris                                                     
Energy Audit,None,Completed,17-Feb-11,22-Nov-11,278,DOE Offices,65 Court Street,DOE,81.66,11201,BROOKLYN ,40.692012,-73.991227,2,33,9,3002557,3002660020,Brooklyn Heights-Cobble Hill                                               
Comprehensive,Retrofit,Design,,,0,Metropolitan Hospital,"1901 1st Avenue  New York, NY 10029",HHC,"9,521.89",10029,MANHATTAN,40.784557,-73.94378,11,8,15602,1083929,1016690001,East Harlem South                                                          
Other,Retro-commissioning,Survey,,,0,I.S.131X Albert Einstein,885 Bolton Avenue,DOE,0,10473,BRONX    ,40.823526,-73.859662,9,18,42,2103869,2036440001,Soundview-Castle Hill-Clason Point-Harding Park                            
Other,Retro-commissioning,Survey,,,0,K276 Louis Marshall,1070 East 83rd Street,DOE,0,11236,BROOKLYN ,40.634085,-73.907925,18,46,996,3225637,3080340001,Canarsie                                                                   
Energy Audit,None,In Progress,2-Aug-12,,0,X135- IS 135,2441 Wallace Avenue Bronx NY,DOE,0,10467,BRONX    ,40.862109,-73.864577,11,13,330,2051313,2044320001,Bronxdale                                                                  
Energy Audit,None,Completed,,,0,Office of Energy Management Headquarters,165 Cadman Plaza East,DCAS,42.87,11201,BROOKLYN ,40.698767,-73.98987,2,33,13,3000172,3000850006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Lighting System Upgrade,Retrofit,Design,,,0,"Queens West 2, 3, 4, 6 District Garage",52-35 58th St,DSNY,0,11377,QUEENS   ,40.734883,-73.909957,2,30,243,4462505,4023610268,Elmhurst-Maspeth                                                           
Energy Audit,None,Completed,12-Apr-11,15-Jun-12,430,PS 138K Brooklyn,801 Park Place,DOE,0,11216,BROOKLYN ,40.673488,-73.95126,8,36,31701,3330794,3012330026,Crown Heights North                                                        
Lighting System Upgrade,Retrofit,Completed,4-Oct-07,1-Apr-08,180,St. John's Recreation Center,1251 PROSPECT PLACE,DPR,60.75,11213,BROOKLYN ,40.673488,-73.9348,8,36,345,3393257,3013530001,Crown Heights North                                                        
Energy Audit,None,Completed,6-Apr-11,7-May-12,397,P.S. 181 Brooklyn,1023 New York Avenue,DOE,133.2,11203,BROOKLYN ,40.648215,-73.946374,17,45,856,3327776,3049040010,East Flatbush-Farragut                                                     
Energy Audit,None,Completed,16-Aug-11,14-Dec-11,120,Louis J Lefkowitz Building,80 Centre Street,DCAS,0,10013,MANHATTAN,40.715447,-74.00189,1,1,29,1001830,1001660027,Chinatown                                                                  
Lighting System Upgrade,Retrofit,Design,,,0,Manhattan Detention Complex (Bernard B. Kerik Complex),125 White St,DOC,0,10013,MANHATTAN,40.716715,-74.000346,1,1,29,1088394,1001670001,Chinatown                                                                  
Lighting System Upgrade,Retrofit,Completed,29-Aug-11,30-Sep-11,32,Engine Company 222,32 Ralph Avenue,FDNY,13.74,11221,BROOKLYN ,40.689385,-73.924006,3,41,387,3044596,3016330039,Stuyvesant Heights                                                         
Other,Retro-commissioning,Survey,,,0,M199 - PS 199M Jessie Isador Straus,270 West 70 Street,DOE,0,10023,MANHATTAN,40.778059,-73.984449,7,6,155,1030351,1011580040,Lincoln Square                                                             
Lighting System Upgrade,Retrofit,Completed,13-Dec-10,30-Jun-11,199,10X032 - 690 East 183rd Street,690 East 183rd Street,DOE,71.93,10458,BRONX    ,40.852103,-73.885935,6,15,391,2012409,2030850001,Belmont                                                                    
HVAC System Upgrade,Retrofit,Design,1-Jan-11,,0,American Museum of Natural History,200 Central Park West,DCLA,"1,117.96",10024,MANHATTAN,40.781312,-73.972254,7,6,165,1083846,1011300001,Upper West Side                                                            
Other,Retro-commissioning,Survey,,,0,Wm Penn ES,180 Seventh Avenue Brooklyn NY,DOE,0,11215,BROOKLYN ,40.67146,-73.977783,6,39,155,3337516,3009710028,Park Slope-Gowanus                                                         
Comprehensive,Retrofit,Substantially Completed,30-Jan-12,29-Jun-12,151,Woodside Inspection Facility,24-55 Brooklyn-Queens Expwy,TLC,61.06,11377,QUEENS   ,40.764199,-73.902694,1,22,299,4022499,4010160045,park-cemetery-etc-Queens                                                   
Energy Audit,None,Completed,8-Feb-11,12-Aug-11,185, I.S.318K Eugenio Maria De Hostos School,101 Walton Street,DOE,345.38,11206,BROOKLYN ,40.7025,-73.948869,1,33,509,3061328,3022460001,Williamsburg                                                               
Other,Photovoltaic,Substantially Completed,16-Dec-11,23-Mar-12,98,Engine Company 168 / Emergency Maintenance Station 22,1100 Rossville Ave,FDNY,18.02,10309,STATEN IS,40.553977,-74.212812,3,51,20801,5154879,5070670252,Rossville-Woodrow                                                          
Lighting System Upgrade,Retrofit,Completed,15-Jun-11,8-Dec-11,176,R008,"112 Lindenwood Rd, 100 Lindenwood Rd",DOE,49.28,10308,STATEN IS,40.547692,-74.151755,3,51,15601,5066295,5052210001,Great Kills                                                                
Comprehensive,Retrofit,Design,,,0,P.S.219Q Paul Klapper,144-39 Gravett Road,DOE,229.15,11367,QUEENS   ,40.735275,-73.823778,8,24,809,4448708,4065070001,Kew Gardens Hills                                                          
Other,Retro-commissioning,Survey,,,0,Museum Of Jewish Heritage,36 Battery Place,,0,10280,MANHATTAN,40.705806,-74.018019,1,1,31704,1084594,1000160010,Battery Park City-Lower Manhattan                                          
,O&M,Completed,12-May-10,10-Jun-10,29,M855  M416 - Eleanor Roosevelt High School,411 East 76th Street,DOE,0,10021,MANHATTAN,40.770187,-73.953608,8,5,132,1045949,1014710005,Lenox Hill-Roosevelt Island                                                
Comprehensive,Retrofit,Install,30-Mar-12,,0,Ferry Maintenance Facility - 1 Bay Street,1 Bay Street,DOT,312.65,10301,STATEN IS,40.643574,-74.072627,1,49,3,5141706,5000020001,West New Brighton-New Brighton-St. George                                  
HVAC System Upgrade,Retrofit,Completed,28-Apr-09,26-Jun-09,59,NYBG - Haupt Conservatory,2740 Dr. Theodore Kazimiroff Blvd,DCLA,8.7,10458,BRONX    ,40.864493,-73.883936,6,15,334,2113012,2032720001,park-cemetery-etc-Bronx                                                    
Lighting System Upgrade,Retrofit,Install,1-Apr-11,31-Dec-11,274,Betts Avenue Boiler Room,58-73 53rd Avenue,DSNY,90.62,11377,QUEENS   ,40.734136,-73.909403,2,30,243,4462505,4023610268,Elmhurst-Maspeth                                                           
Lighting System Upgrade,Retrofit,Completed,5-Sep-08,15-May-09,252,P.S. 58M (The Man. Schl)/FK Onassis (Sch For Intl Careers),317 W. 52nd St.,DOE,63.66,10019,MANHATTAN,40.763866,-73.985939,4,3,133,1025241,1010430022,Clinton                                                                    
Energy Audit,None,Completed,24-Feb-11,17-Apr-12,418,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DCAS,102.28,10472,BRONX    ,40.829232,-73.856734,9,18,4001,2025717,2037900040,Soundview-Bruckner                                                         
Energy Audit,None,In Progress,,,0,Regent Hotel Shelter,2720 Broadway,DHS,0,10025,MANHATTAN,40.799717,-73.967789,7,7,191,1056586,1018760020,Upper West Side                                                            
Other,Retro-commissioning,Survey,,,0,Manhattan Criminal Courthouse,125 White Street,DCAS,0,10013,MANHATTAN,40.716715,-74.000346,1,1,29,1088394,1001670001,Chinatown                                                                  
Lighting System Upgrade,Retrofit,Completed,1-Apr-11,31-Dec-11,274,Pelham Bay Branch Library,3060 Middletown Road,NYPL,23.59,10461,BRONX    ,40.844486,-73.828318,10,13,264,2074963,2054040002,Schuylerville-Throgs Neck-Edgewater Park                                   
Energy Audit,None,Completed,17-Feb-11,21-May-12,459,I.S.238Q Susan B Anthony School,88-15 182nd Street,DOE,170.25,11423,QUEENS   ,40.713094,-73.780468,12,27,470,4212425,4099190006,Jamaica                                                                    
Lighting System Upgrade,Retrofit,Completed,24-Jul-09,13-May-10,293,Bx 5 District Garage,1331 Cromwell Ave,DSNY,23.85,10452,BRONX    ,40.839273,-73.920629,4,16,219,2008640,2028710077,Highbridge                                                                 
Lighting System Upgrade,Retrofit,Completed,23-Jun-09,2-Feb-10,224,I.S. 49R,101 Warren St.,DOE,116.28,10007,MANHATTAN,40.715729,-74.011424,1,1,21,1087170,1001427501,SoHo-TriBeCa-Civic Center-Little Italy                                     
Comprehensive,Retrofit,Design,,,0,P.S.78X Anne Hutchinson,1400 Needham Avenue,DOE,65.27,10469,BRONX    ,40.878577,-73.851163,12,12,386,2060191,2047190001,Eastchester-Edenwald-Baychester                                            
Energy Audit,None,Completed,16-Aug-11,12-Dec-11,118,Health Building,125 Worth Street,DCAS,0,10013,MANHATTAN,40.715428,-74.002673,1,1,31,1001831,1001680032,SoHo-TriBeCa-Civic Center-Little Italy                                     
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jan-11,21-Oct-11,268,100th Precinct,"9224 Rockaway  Beach, or 92-24 Rockaway Beach Boulevard",NYPD,22.13,11694,QUEENS   ,40.570817,-73.854379,14,32,928,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Energy Audit,None,Completed,19-Apr-11,14-May-12,391,M022 New Explorations into Science Technology and Math High School,111 Columbia St,DOE,112.19,10002,MANHATTAN,40.718895,-73.979308,3,2,2201,1004070,1003350001,Lower East Side                                                            
Lighting System Upgrade,Retrofit,Completed,31-Dec-10,1-Jul-11,182,Doe17 11X041 - 3352 Olinville Avenue,3352 Olinville Ave,DOE,59.12,10467,BRONX    ,40.874313,-73.868157,12,12,374,2056898,2046240015,Williamsbridge-Olinville                                                   
Energy Audit,None,In Progress,,,0,M019- PS 019- Asher Levy,179 1st Avenue,DOE,0,10003,MANHATTAN,40.729469,-73.983937,3,2,40,1006478,1004530034,East Village                                                               
Lighting System Upgrade,Retrofit,Design,,,0,P.S. 084 Lillian Weber,32 West 92 Street,DOE,146.57,10025,MANHATTAN,40.789526,-73.967574,7,6,177,1081042,1012050006,Upper West Side                                                            
Other,Retro-commissioning,Survey,,,0,Brooklyn Central Court,120 Schermerhorn Street,DCAS,0,11201,BROOKLYN ,40.690074,-73.988923,2,33,43,3000534,3001690017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Lighting System Upgrade,Retrofit,Completed,20-Mar-08,16-Oct-08,210,Midtown North - Manhattan Zone,524 WEST 42ND ST,NYPD,48.84,10036,MANHATTAN,40.76017,-73.99678,4,3,117,1026909,1010700044,Hudson Yards-Chelsea-Flatiron-Union Square                                 
HVAC System Upgrade,Retrofit,Install,2-Jul-12,,0,Queens North Borough Repair Shop - 52-07 58th Street,52-07 58th Street,DSNY,30.86,11377,QUEENS   ,40.735462,-73.909675,2,30,243,4054170,4023470055,Elmhurst-Maspeth                                                           
Comprehensive,Retrofit,Design,,,0,PS 217 Roosevelt School,"645 Main Street, Manhattan",DOE,379.34,10044,MANHATTAN,40.763894,-73.947916,8,5,23802,1084848,1013730001,Lenox Hill-Roosevelt Island                                                
HVAC System Upgrade,Retrofit,Completed,11-May-10,10-Jun-10,30,Manhattan Borough Repair Shop,640 West 26th St,DSNY,147.02,10001,MANHATTAN,40.751183,-74.006594,4,3,99,1012267,1006700050,Hudson Yards-Chelsea-Flatiron-Union Square                                 
HVAC System Upgrade,Retrofit,Completed,10-Mar-08,31-Dec-08,296,NYPD - 33rd Precinct,"2207 Amsterdam Ave., NY, NY",NYPD,1.26,10032,MANHATTAN,40.840712,-73.93564,12,10,249,1086200,1021120010,Washington Heights South                                                   
Other,Retro-commissioning,Survey,,,0,P.S.307K Daniel Hale Williams SchoolP.S.307K Daniel Hale Williams School,209 York Street,DOE,0,11201,BROOKLYN ,40.701343,-73.982314,2,33,21,3000158,3000560007,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
HVAC System Upgrade,Solar Thermal,Design,,,0,Engine Company 264,16-15 Central Avenue,FDNY,3.41,11691,QUEENS   ,40.604897,-73.752226,14,31,103202,4529057,4155590025,Far Rockaway-Bayswater                                                     
Energy Audit,None,Completed,14-Feb-11,30-Jun-11,136,Bronx Bergen Building,1932 Arthur Avenue Bronx NY,DCAS,153.01,10457,BRONX    ,40.845685,-73.893294,6,17,36901,2009911,2029470018,East Tremont                                                               
HVAC System Upgrade,Retrofit,Design,7-Nov-11,,0,Police Headquarters,1 Police Plaza,NYPD,"2,914.41",10038,MANHATTAN,40.712356,-74.000891,1,1,29,1079143,1001190001,Chinatown                                                                  
HVAC System Upgrade,Retrofit,Install,15-Mar-12,,0,Humanities & Social Sciences Library,454 Fifth Avenue,NYPL,"2,122.53",10018,MANHATTAN,40.752047,-73.981946,5,4,84,,,Midtown-Midtown South                                                      
Other,Retro-commissioning,Survey,,,0,P.S. 181 Brooklyn,1023 New York Avenue,DOE,0,11203,BROOKLYN ,40.648215,-73.946374,17,45,856,3327776,3049040010,East Flatbush-Farragut                                                     
Comprehensive,Retrofit,Design,,,0,73rd Precinct,470 EAST NEW YORK AVENUE,NYPD,66.37,11225,BROOKLYN ,40.661783,-73.947073,9,40,806,3106522,3047920008,Prospect Lefferts Gardens-Wingate                                          
Lighting System Upgrade,Retrofit,Install,16-May-12,,0,Q5 - 48-01 58th Road,58-02 48th Street,DSNY,73,11378,QUEENS   ,40.721462,-73.921913,5,30,219,4544131,4026000001,Hunters Point-Sunnyside-West Maspeth                                       
Lighting System Upgrade,Retrofit,Completed,31-May-11,28-Sep-11,120, Staten Island 2 District Garages,2500 RICHMOND AVENUE     STATEN ISLAND,DSNY,123.92,10314,STATEN IS,40.587291,-74.168234,2,51,228,5041599,5025200001,New Springville-Bloomfield-Travis                                          
Energy Audit,None,Completed,,,0,Manhattan Family Court,60 Lafayette Street,DCAS,0,10013,MANHATTAN,40.71646,-74.002327,1,1,31,1001842,1001710031,SoHo-TriBeCa-Civic Center-Little Italy                                     
Comprehensive,Retrofit,Design,,,0,"P.S.10K Magnet School of Math, Science and Design Technology",511 7th Avenue,DOE,0,11215,BROOKLYN ,40.661061,-73.986534,7,38,149,3016509,3008690001,Park Slope-Gowanus                                                         
Energy Audit,None,Completed,14-Apr-11,8-May-12,390,PS 084M Lillian Weber,32 West 92nd St,DOE,66.56,10025,MANHATTAN,40.789526,-73.967574,7,6,177,1081042,1012050006,Upper West Side                                                            
Lighting System Upgrade,Retrofit,Design,,,0,Marta Valle Secondary School,145 Stanton Street,DOE,96.31,10002,MANHATTAN,40.720581,-73.985645,3,1,3001,1004323,1003540080,Chinatown                                                                  
Energy Audit,None,In Progress,,,0,R052 - PS 052 - John C. Thompson,55 Layton Avenue,DOE,0,10301,STATEN IS,40.641595,-74.085135,1,49,9,5001150,5000490182,West New Brighton-New Brighton-St. George                                  
Energy Audit,None,Completed,4-Feb-11,5-Jul-11,151,Mark A. Constantino Judicial Center,"130 Stuyvesant Pl, Staten Island",DCAS,627.89,10301,STATEN IS,40.642891,-74.076874,1,49,3,5000085,5000080070,West New Brighton-New Brighton-St. George                                  
Energy Audit,None,Completed,15-Feb-11,4-Apr-12,414,P.S.219Q Paul Klapper,144-39 Gravett Road,DOE,204.58,11367,QUEENS   ,40.735275,-73.823778,8,24,809,4448708,4065070001,Kew Gardens Hills                                                          
Energy Audit,None,Completed,9-Feb-11,23-May-12,469,P.S.131K,4305 Fort Hamilton Parkway,DOE,64.16,11219,BROOKLYN ,40.641157,-73.993482,12,39,224,3136085,3056030001,Borough Park                                                               
Energy Audit,None,Completed,27-Apr-11,8-May-12,377,PS 044R Thomas C. Brown,80 Maple Parkway,DOE,68.44,10303,STATEN IS,40.63179,-74.156439,1,49,231,5027641,5012180001,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
Energy Audit,None,Completed,21-Oct-10,31-Oct-11,375,Queens Criminal Court,120-55 Queens Blvd. Queens NY 11415,DFMC,"2,129.43",11415,QUEENS   ,40.713329,-73.828601,9,29,216,4052812,4022740002,Kew Gardens                                                                
Other,Retro-commissioning,Survey,,,0,PS 75M Emily Dickinson School,735 West End Avenue,DOE,0,10025,MANHATTAN,40.795157,-73.973292,7,6,183,1034190,1012530065,Upper West Side                                                            
Other,Retro-commissioning,Survey,,,0, I.S.318K Eugenio Maria De Hostos School,101 Walton Street,DOE,0,11206,BROOKLYN ,40.7025,-73.948869,1,33,509,3061328,3022460001,Williamsburg                                                               
Lighting System Upgrade,Retrofit,Completed,4-Dec-09,11-Jun-10,189,Police Forensic Lab - Lighting,150-18 JAMAICA AVENUE,NYPD,125.53,11432,QUEENS   ,40.702202,-73.804163,12,27,240,4215603,4100920006,Jamaica                                                                    
Other,Retro-commissioning,Survey,,,0,M600 - Fashion Industries HS,225 West 24th St,DOE,0,10011,MANHATTAN,40.745156,-73.996074,4,3,91,1014174,1007740019,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Other,Retro-commissioning,Survey,,,0,K126 John Ericsson JHS,424 Leonard Street,DOE,0,11222,BROOKLYN ,40.719819,-73.948625,1,33,499,3067788,3027120001,Greenpoint                                                                 
Energy Audit,None,Completed,27-Jan-11,31-Dec-11,338,Central Building,10 Grand Army Plaza,BPL,0,11238,BROOKLYN ,40.672833,-73.969069,55,35,177,3029665,3011830002,park-cemetery-etc-Brooklyn                                                 
Other,Retro-commissioning,Survey,9-Aug-11,,0,City Center,131 West 55th Street,DCLA,0,10019,MANHATTAN,40.763607,-73.979496,5,4,137,1023391,1010080015,Midtown-Midtown South                                                      
Comprehensive,Solar Thermal,Install,,,0,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,12.83,10455,BRONX    ,40.811972,-73.914275,1,8,37,2003692,2025570001,Mott Haven-Port Morris                                                     
Lighting System Upgrade,Retrofit,Design,,,0,J.H.S. 383 Philippa Schuyler,1300 Greene Avenue,DOE,156.59,11237,BROOKLYN ,40.697781,-73.919777,4,37,431,3075413,3032980001,Bushwick North                                                             
Energy Audit,None,Completed,14-Feb-11,24-May-11,99,Bronx Housing Court,1118 Grand Concourse,DCAS,0,10456,BRONX    ,40.832232,-73.919655,4,16,18102,2101266,2024620039,East Concourse-Concourse Village                                           
HVAC System Upgrade,Retrofit,Completed,6-Mar-08,19-Sep-08,197,P.S. 123K / P.S. 377K / P.S. 106K,200 Woodbine St.,DOE,101.35,,,,,,,,,,
Energy Audit,None,Completed,26-Oct-10,14-Jul-11,261,M199 - PS 199M Jessie Isador Straus,270 West 70 Street,DOE,62.16,10023,MANHATTAN,40.778059,-73.984449,7,6,155,1030351,1011580040,Lincoln Square                                                             
Energy Audit,None,Completed,4-Nov-10,3-Jun-11,211,Bushwick Multi Service Center,1420 Bushwick Ave,HRA,23.19,11207,BROOKLYN ,40.684318,-73.909056,4,37,403,3080067,3034440022,Bushwick South                                                             
Energy Audit,None,Completed,16-Aug-11,12-Dec-11,118,Bronx Family & Criminal Court,215 East 161st Street,DCAS,0,10451,BRONX    ,40.826236,-73.920529,4,16,18302,2002704,2024540001,East Concourse-Concourse Village                                           
HVAC System Upgrade,Retrofit,Install,1-Jul-09,,0,Carnegie Hall,881 7th Avenue,DCLA,0,10019,MANHATTAN,40.764941,-73.980445,5,4,137,1023449,1010090001,Midtown-Midtown South                                                      
HVAC System Upgrade,Retrofit,Completed,6-Mar-08,19-Sep-08,197,P.S. 123K / P.S. 377K / P.S. 106K,"1314 Putnam Avenue, 2120 Raymond Avenue",DOE,37.67,,,,,,,,,,
Energy Audit,None,Completed,,,0,Elmhurst Hospital Center,"79-01 Broadway  Elmhurst, NY  11373",HHC,0,11373,QUEENS   ,40.744416,-73.886097,4,25,267,4437132,4015000002,Elmhurst                                                                   
Other,Retro-commissioning,Survey,,,0,K191 Paul Robeson,1600 Park Place,,0,11233,BROOKLYN ,40.672005,-73.924329,8,41,359,3036635,3013750012,Crown Heights North                                                        
HVAC System Upgrade,Retrofit,Design,,,0,Brooklyn Central Court,120 Schermerhorn St,DCAS,346.23,11201,BROOKLYN ,40.690074,-73.988923,2,33,43,3000534,3001690017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Energy Audit,None,In Progress,18-Jul-12,,0,K276 Louis Marshall,1070 East 83rd Street,DOE,0,11236,BROOKLYN ,40.634085,-73.907925,18,46,996,3225637,3080340001,Canarsie                                                                   
HVAC System Upgrade,Retrofit,Install,1-Jan-11,,0,The Metropolitan Museum Of Art,1000 5th Ave,MoMA,0,10028,MANHATTAN,40.778633,-73.962546,64,6,143,1083810,1011110001,park-cemetery-etc-Manhattan                                                
Lighting System Upgrade,Retrofit,Completed,15-Jun-09,12-May-10,331,"Q 11/13A, Q 7,Q 13",75-05 WINCHESTER BLVD  DIST 11/13 GARAGE,DSNY,501.4,11427,QUEENS   ,40.742029,-73.7333,13,23,1567,,,Bellerose                                                                  
Lighting System Upgrade,Retrofit,Completed,6-Mar-08,19-Sep-08,197,P.S. 123K / P.S. 377K / P.S. 106K,"100 Irving Avenue, 1025 Morrison Avenue",DOE,68.8,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,0,Queens Criminal Court,120-55 Queens Blvd. Queens NY 11415,DCAS,0,11415,QUEENS   ,40.713329,-73.828601,9,29,216,4052812,4022740002,Kew Gardens                                                                
Energy Audit,None,Completed,12-Oct-10,31-May-11,231,K126 John Ericsson JHS,424 Leonard Street,DOE,0,11222,BROOKLYN ,40.719819,-73.948625,1,33,499,3067788,3027120001,Greenpoint                                                                 
Other,Retro-commissioning,Survey,,,0,Murry Bergtraum High School (M520),411 Pearl Street,DOE,0,10038,MANHATTAN,40.711442,-74.000851,1,1,29,1001388,1001130100,Chinatown                                                                  
Comprehensive,Retrofit,Design,,,0,48th Precinct,450 CROSS BRONX EXPWY BRONX NY,NYPD,22.92,10457,BRONX    ,40.844149,-73.900604,6,15,165,2009509,2029070010,Claremont-Bathgate                                                         
Lighting System Upgrade,Retrofit,Install,14-May-12,28-Sep-12,137,Washington Irving Branch Library,360 Irving Avenue,BPL,11.9,11237,BROOKLYN ,40.697745,-73.912157,4,37,435,3076852,3033620032,Bushwick North                                                             
Lighting System Upgrade,Retrofit,Completed,24-Jul-09,13-May-10,293,Bx 7/8,423 West 215th St.,DSNY,82.55,10034,MANHATTAN,40.869024,-73.913916,12,10,299,1082036,1022120001,Marble Hill-Inwood                                                         
Lighting System Upgrade,Retrofit,Completed,12-Dec-08,20-Jul-09,220,Traffic Control Division,134-40 W 30TH ST,NYPD,30.02,10001,MANHATTAN,40.747739,-73.990739,5,3,95,1015151,1008050082,Midtown-Midtown South                                                      
Comprehensive,Retrofit,Design,,,0,J.H.S. 218 James P. Sinnott,370 Fountain Avenue,DOE,0,11208,BROOKLYN ,40.670724,-73.874208,5,42,1118,3095977,3042780001,East New York                                                              
Energy Audit,None,Completed,18-Jan-11,30-Jun-11,163,NYPD CRS,53-15 58th Street,NYPD,0,11377,QUEENS   ,40.733733,-73.91054,2,30,243,4054276,4023610150,Elmhurst-Maspeth                                                           
Other,Retrofit,Design,1-Apr-11,30-Jun-11,90,M028 - P.S. 028 Wright Brothers,475 West 155th Street,DOE,0,10032,MANHATTAN,40.831227,-73.942143,12,7,239,1076739,1021070026,Washington Heights South                                                   
Energy Audit,None,Completed,20-Apr-11,17-May-12,393,PS 199X The Shakespeare School,1449 Shakespeare Avenue,DOE,84.79,10452,BRONX    ,40.842943,-73.920563,4,16,21302,2088263,2028730027,Highbridge                                                                 
Energy Audit,None,Completed,,,0,Brooklyn  11,1824 Shore Parkway Brooklyn NY,DSNY,834.97,11214,BROOKLYN ,40.59132,-73.994509,11,43,304,3378180,3069430030,Bensonhurst East                                                           
Energy Audit,None,Completed,16-Mar-10,23-Aug-10,160,Brooklyn Heights Branch Library,286 Fulton Street,BPL,135.53,11201,BROOKLYN ,40.69552,-73.990963,2,33,502,3001939,3002390016,Brooklyn Heights-Cobble Hill                                               
Lighting System Upgrade,Retrofit,Substantially Completed,11-Oct-11,19-Mar-12,160,Jackie Robinson Recreation Center,89 Bradhurst Avenue,DPR,27.43,10039,MANHATTAN,40.824253,-73.942189,10,9,231,1084164,1020520001,Hamilton Heights                                                           
Other,Retro-commissioning,Survey,,,0,J.H.S.43M,509 West 129th Street,DOE,0,10027,MANHATTAN,40.815256,-73.955325,9,7,219,1059723,1019840033,Manhattanville                                                             
Lighting System Upgrade,Retrofit,Design,,,0,P.S. 057 Crescent,2111 Crotona Avenue,DOE,0,10457,BRONX    ,40.848472,-73.888561,6,15,373,2012359,2030810026,East Tremont                                                               
Comprehensive,Retrofit,Design,,,0,Chelsea Recreation Center,430 West 25th St,DPR,0,10001,MANHATTAN,40.748291,-74.001649,4,3,93,1012811,1007220057,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Other,Retro-commissioning,Survey,,,0,Brooklyn Heights Branch Library,280 Cadman Plaza West,BPL,0,11201,BROOKLYN ,40.695657,-73.991006,2,33,502,3001939,3002390016,Brooklyn Heights-Cobble Hill                                               
Lighting System Upgrade,Retrofit,Completed,6-May-10,21-Oct-10,168,Fleet Services R&T Building - 48-34 35th Street,48-34 35th Street,FDNY,253.34,11101,QUEENS   ,40.740165,-73.930693,2,26,199,4003451,4002540001,Hunters Point-Sunnyside-West Maspeth                                       
Lighting System Upgrade,Retrofit,Completed,25-Jun-09,7-Jan-10,196,26th Street Repair Garage,640 West 26th Street,DSNY,366.78,10001,MANHATTAN,40.751183,-74.006594,4,3,99,1012267,1006700050,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Energy Audit,None,Completed,15-Jun-12,2-Jul-12,17,Randals Island Fire Academy,Randals Island New York  10035,FDNY,0,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,20-Jan-11,21-Jul-11,182,Leonard Covello Senior Center,312 E. 109th Street,DFTA,23.32,10029,MANHATTAN,40.792306,-73.94048,11,8,170,1074278,1016800045,East Harlem South                                                          
Energy Audit,None,In Progress,,,0,M054- JHS 054- Booker T. Washington,103 W 107th Street,DOE,0,10025,MANHATTAN,40.800119,-73.962837,7,7,193,1055990,1018620011,Morningside Heights                                                        
